i1_r,i2_r,i3_r,i4_r,i5_r,i6_r,i7_r,i8_r,t1_r,t2_r,t3_r,t4_r,t5_r,t9_r,t10_r,t11_r,t12_r,t13_r,t14_r,t15_r,t16_r,t17_r,t18_r,t19_r,t20_r,t21_r,t22_r,t23_r,t24_r,t25_r,o1_r,o2_r,o3_r,o4_r,o5_r,o6_r,o7_r,o8_r,o9_r,o10_r,o11_r,o12_r
12,16.5,80.2,184,81.7,19,37.6,46.5,37.91428571,57.68,59.01818182,-0.6,35.8,4.566666667,62.64166667,288.6245417,59.22083333,56.57916667,52.27916667,165.3666667,1109.891667,173.3869565,94.95652174,-0.97826087,-0.869565217,54.62608696,32.16086957,95.25,95.525,96.15,0.612,5,2.26,36,33,0.11,68,31,8.4,0.404,0.617,5
12.175,55,80.6,474,83.50625,35.34375,37.26666667,89,38.43333333,60.4375,56.8375,-0.6,37.2875,4.087535192,60.54860892,288.6245417,56.57273438,55.47389235,50.86752675,163.1118994,1103.737029,175.6228834,95.54305556,-1.00803432,-0.845150453,48.44723665,26.88245783,95.175,95.15,95.75,0.586,5.416666667,2.26,34,29,0.1,76,29,8.5,0.446,0.59,4.7
12.46666667,35.33333333,80.9,298,83.50625,35.34375,36.55,100.5,38.36,59.8,56.65714286,-0.6,35.55714286,4.170496228,60.59439186,288.6245417,56.25325128,55.44361228,50.40470224,159.7388072,1112.892248,177.6403536,93.1,-0.988326959,-0.9529253,47.184026,27.22067829,95.96666667,95.3,95.43333333,0.617,10.47619048,2.22,34,30,0.1,58,29,8,0.448,0.589,4.5
12.65,110,81.3,8,83.50625,35.34375,35.95,100.5,38.44285714,61.13333333,56.71666667,-0.6,35.6,4.741216512,60.95387759,288.6245417,56.79715053,55.66625368,50.32393,174.7310647,1113.998841,179.1783194,92.2015625,-1.007052602,-1.003891053,50.42558375,27.77845269,95.25,94.9,95.6,0.636,25.625,1.9,35,29,0.1,61,26,8.4,0.458,0.552,4.5
12.76666667,93.33333333,81.3,8,83.50625,35.34375,35.95,100.5,38.475,59.85,56.3,-0.6,35.45,4.904398943,62.15418247,288.6245417,58.52804803,55.80034179,51.5432876,171.0678783,1118.743721,179.2624253,91.8140625,-0.997476938,-0.985013447,48.51775284,28.20282088,95.25,94.9,95.6,0.62,20.96153846,2.66,34,28,0.1,60,26,8.1,0.444,0.554,4.6
13.23333333,55.66666667,82.4,116,83.50625,35.34375,34.4,101,38.4625,60.0875,56.35,-0.6,35.5,4.468544042,61.10919029,288.6245417,57.4979535,55.73877244,50.9007191,175.2929954,1112.416621,179.3912296,91.88673469,-0.991483314,-0.971373071,48.51554459,27.88463818,95.2875,95.4125,95.9875,0.617,28.61111111,2.32,32,28,0.11,57,30,7.9,0.432,0.575,4.9
12.62,35.2,80.6,212,83.50625,35.34375,34.7,178,38.5,60.68571429,56.79090909,-0.6,35.475,4.635184224,60.64196459,288.6245417,56.41833557,55.51322173,50.58089861,166.8096041,1114.534237,179.2617776,94.05306122,-0.989339397,-0.985289459,52.12608194,29.26258633,95.5,95.43333333,95.3,0.602,7.5,2.45,32,35,0.093,62,29,8.3,0.46,0.593,5.3
12.83333333,34.66666667,80.6,392,83.50625,35.34375,34.35,161,38.4,60.48,56.5125,-0.6,35.5,4.933245926,61.42850222,288.6245417,57.98842781,55.67025275,50.64243718,180.7364883,1118.012422,179.3649452,93.6375,-1.024035448,-1.023994961,52.48257096,31.13063354,95.7,95.7,96.01111111,0.612,6.666666667,2.47,31,30,0.11,64,30,8.2,0.413,0.565,4.5
12.2,5,81.4,70,83.50625,35.34375,35.26666667,71.66666667,38.51666667,60.575,56.97777778,-0.6,35.53333333,4.363333333,61.29452009,298.3333333,58.09,55.82,50.51,161.3566667,1112.613333,179.4321429,93.33928571,-1.003571429,-0.95,53.50357143,22.95714286,95.45,95.65,95.85,0.615,27.61904762,2.02,32,31,0.093,75,31,8.3,0.449,0.619,5.1
12.23333333,7,81.4,70,83.50625,35.34375,36.075,57.25,38.48333333,60.6,55.83333333,-0.6,35.38333333,4.376923077,61.29452009,298.1346154,58.53076923,56.12692308,51.77307692,164.3538462,1117.923077,179.3576923,94.79615385,-1.011538462,-0.953846154,52.59615385,20.45384615,95.56666667,95.8,96.16666667,0.61,25.71428571,2.56,35,34,0.11,70,27,8.4,0.413,0.61,5.1
12.36666667,26.66666667,80.2,212,83.50625,35.34375,37.4,64,38.4625,60.31428571,56.225,-0.6,35.41428571,4.368991778,61.07114096,288.6245417,54.75805918,55.57490016,47.87392357,171.9705407,1116.846532,179.9285448,94.80446429,-0.996894229,-1.00469221,57.12634467,23.38660645,95.46666667,95.45,96,0.626,20.13888889,2.86,33,32,0.12,66,25,8.4,0.43,0.556,4.9
12.6,25,80.7,51,83.50625,35.34375,34.2,46,38.35,60.61818182,55.42857143,-0.6,52.5,4.312986411,58.45745054,288.6245417,58.4522267,52.03474139,52.27500367,189.6478822,1117.209137,179.4452908,96.15245098,-1.007747371,-0.965953285,55.79888093,29.09116182,95.4,95.43333333,95.56666667,0.617,14.76190476,2.27,30,33,0.1,71,29,8.4,0.423,0.551,5.6
12.6,6.5,80,252,83.50625,35.34375,34.2,800,38.4,60.64166667,56.3,-0.6,55.41666667,4.514309196,61.80411393,288.6245417,58.04222745,55.24733333,50.65674571,174.4182476,1117.418549,180.0117493,95.27410714,-1.006635738,-0.998992718,55.05106954,29.0532935,94.43333333,94.56666667,95.6,0.611,9.047619048,2.3,35,33,0.12,92,28,8.1,0.464,0.662,4.4
